"Link "," outLinkSimilarity "," inLinkSimilarity "," lexicalSimilarity "," numOutLinks "," numInLinks "," length "," CategorySimilarity","Class"
"/wiki/Camera_obscura "," 0.0523255813953 "," 0.103129131776 "," 0.111847555924 "," 74 "," 537 "," 8136 "," 1","Ca"
"/wiki/Latin "," 0.0 "," 0.000568666477111 "," 0.0881696428571 "," 236 "," 5074 "," 24965 "," 0","Sp"
"/wiki/Visible_spectrum "," 0.0170212765957 "," 0.0101818181818 "," 0.063122923588 "," 139 "," 836 "," 7398 "," 0","Sp"
"/wiki/Electromagnetic_spectrum "," 0.00480769230769 "," 0.00873503720479 "," 0.0859080633007 "," 107 "," 1154 "," 12842 "," 0","Sp"
"/wiki/Aperture "," 0.0426829268293 "," 0.103286384977 "," 0.151253918495 "," 66 "," 859 "," 15962 "," 0","Ca"
"/wiki/Light "," 0.0118694362018 "," 0.0199015621656 "," 0.109651627641 "," 259 "," 2910 "," 26546 "," 0","Sp"
"/wiki/Photographic_lens "," 0.0897435897436 "," 0.0496014171833 "," 0.149398525417 "," 177 "," 399 "," 76682 "," 0","Ca"
"/wiki/Photographic_film "," 0.0380434782609 "," 0.115201385881 "," 0.144259818731 "," 83 "," 609 "," 14252 "," 1","Ca"
"/wiki/Camera_sensor "," 0.0236220472441 "," 0.000506842372022 "," 0.0536585365854 "," 19 "," 3 "," 2936 "," 0","Ca"
"/wiki/Diaphragm_(optics) "," 0.0151515151515 "," 0.0103920642419 "," 0.0635071090047 "," 22 "," 170 "," 4230 "," 1","Ca"
"/wiki/Shutter_button "," 0.00826446280992 "," 0.000506329113924 "," 0.0221752903907 "," 7 "," 5 "," 864 "," 0","Ca"
"/wiki/Movie_camera "," 0.0472972972973 "," 0.0134821013482 "," 0.151305683564 "," 42 "," 209 "," 11736 "," 0","Ca"
"/wiki/Film_frame "," 0.0384615384615 "," 0.00444247001333 "," 0.062874251497 "," 25 "," 293 "," 3300 "," 0","Ca"
"/wiki/Camera_obscura "," 0.0523255813953 "," 0.103129131776 "," 0.111847555924 "," 74 "," 537 "," 8136 "," 1","Ca"
"/wiki/Etymology "," 0.00847457627119 "," 0.00137080191912 "," 0.0581473968898 "," 137 "," 2437 "," 12306 "," 0","Sp"
"/wiki/Greeks "," 0.00472813238771 "," 0.000847098686997 "," 0.0762916465476 "," 384 "," 5198 "," 34082 "," 0","Sp"
"/wiki/Anthemius_of_Tralles "," 0.015037593985 "," 0.00236406619385 "," 0.0203685741998 "," 22 "," 149 "," 2210 "," 0","El"
"/wiki/Arab "," 0.0 "," 0.00195195195195 "," 0.0722761596548 "," 357 "," 4702 "," 25446 "," 0","Sp"
"/wiki/Ibn_al-Haytham "," 0.021327014218 "," 0.0044014084507 "," 0.102284011917 "," 423 "," 311 "," 36505 "," 0","El"
"/wiki/Book_of_Optics "," 0.0261096605744 "," 0.00412276683463 "," 0.120262758969 "," 434 "," 221 "," 40408 "," 0","Pr"
"/wiki/Roger_Bacon "," 0.016339869281 "," 0.00306983883346 "," 0.0737379466818 "," 207 "," 645 "," 19188 "," 0","Pr"
"/wiki/Johannes_Kepler "," 0.00914634146341 "," 0.0039489671932 "," 0.0870479394449 "," 264 "," 1355 "," 43530 "," 0","Pr"
"/wiki/Robert_Boyle "," 0.00497512437811 "," 0.00228310502283 "," 0.0698324022346 "," 94 "," 663 "," 11486 "," 0","pr"
"/wiki/Robert_Hooke "," 0.0131004366812 "," 0.00283386468296 "," 0.0992628992629 "," 146 "," 860 "," 31401 "," 0","Pr"
"/wiki/Johann_Zahn "," 0.0149253731343 "," 0.00151668351871 "," 0.0427010923535 "," 21 "," 10 "," 1974 "," 0","Pr"
"/wiki/Johann_Heinrich_Schultz "," 0.0149253731343 "," 0.00252270433905 "," 0.0353798126951 "," 23 "," 16 "," 1045 "," 0","Pr"
"/wiki/Photograph "," 0.0338983050847 "," 0.0721380031364 "," 0.123993558776 "," 72 "," 2149 "," 9732 "," 0","Sp"
"/wiki/Paris "," 0.00115606936416 "," 0.00116635078 "," 0.0696222291602 "," 1009 "," 4896 "," 75451 "," 0","Sp"
"/wiki/Johann_Heinrich_Schultz "," 0.0149253731343 "," 0.00252270433905 "," 0.0353798126951 "," 23 "," 16 "," 1045 "," 0","Pr"
"/wiki/Jacques_Daguerre "," 0.05 "," 0.0 "," 0.0874558303887 "," 35 "," 5 "," 5676 "," 0","Pr"
"/wiki/Daguerreotype "," 0.0284090909091 "," 0.0900493421053 "," 0.115812917595 "," 71 "," 689 "," 10880 "," 0","Pr"
"/wiki/Copper "," 0.00523560209424 "," 0.00511396843951 "," 0.0900049726504 "," 321 "," 4917 "," 29554 "," 0","Sp"
"/wiki/Calotype "," 0.0232558139535 "," 0.102300538424 "," 0.0297741273101 "," 18 "," 281 "," 1549 "," 0","El"
"/wiki/William_Fox_Talbot "," 0.0251572327044 "," 0.00506445672192 "," 0.0828025477707 "," 53 "," 214 "," 9286 "," 0","Pr"
"/wiki/Paper "," 0.0 "," 0.00833333333333 "," 0.111945905334 "," 84 "," 2144 "," 12696 "," 0","Sp"
