Link , outLinkSimilarity , inLinkSimilarity , lexicalSimilarity , numOutLinks , numInLinks , length , CategorySimilarity , Category
/wiki/Computing , 0.00507614213198 , 0.00977995110024 , 0.0471478463329 , 37 , 946 , 4453 , 0 , Ca
/wiki/Typewriter#Keyboard_layouts:_.22QWERTY.22_and_others , 0.0246913580247 , 0.00398936170213 , 0.137931034483 , 189 , 49 , 40738 , 0 , Ca
/wiki/Push-button , 0.00526315789474 , 0.00609756097561 , 0.055023923445 , 28 , 122 , 3500 , 0 , El
/wiki/Punch_card , 0.0124481327801 , 0.00134408602151 , 0.113216715258 , 95 , 39 , 18343 , 0 , Ca
/wiki/Paper_tape , 0.00460829493088 , 0.00123001230012 , 0.0839936608558 , 72 , 108 , 10267 , 0 , Ca
/wiki/Input_device , 0.0112994350282 , 0.0556818181818 , 0.0480827754108 , 16 , 223 , 2854 , 1 , Ca
/wiki/Mouse_(computing) , 0.0378548895899 , 0.142429682825 , 0.147575250836 , 191 , 1249 , 30734 , 2 , Ca
/wiki/Touchscreen , 0.0215517241379 , 0.0380710659898 , 0.124572545188 , 94 , 980 , 17271 , 0 , Ca
/wiki/Pen_computing , 0.04 , 0.00132625994695 , 0.0580912863071 , 25 , 49 , 4555 , 0 , Ca
/wiki/Character_recognition , 0.0134529147982 , 0.00140056022409 , 0.089013224822 , 66 , 9 , 11909 , 0 , Ca
/wiki/Voice_recognition , 0.0138248847926 , 0.00132100396301 , 0.123336291038 , 60 , 52 , 22295 , 0 , Ca
/wiki/Engraving , 0.00900900900901 , 0.000354735721887 , 0.0854870775348 , 70 , 2177 , 12935 , 0 , Ca
/wiki/Printing , 0.00384615384615 , 0.00286885245902 , 0.0839294229852 , 115 , 1746 , 14054 , 0 , Ca
/wiki/Symbol , 0.00490196078431 , 0.00159808230124 , 0.0359420289855 , 44 , 1822 , 3941 , 0 , Sp
/wiki/Letter_(alphabet) , 0.0 , 0.00767754318618 , 0.0506257110353 , 167 , 344 , 6358 , 0 , Sp
/wiki/Number , 0.00220750551876 , 0.00455062571104 , 0.0868276154172 , 345 , 1062 , 31133 , 0 , Sp
/wiki/Character_(computing) , 0.00966183574879 , 0.00870406189555 , 0.0505584950029 , 51 , 338 , 4173 , 0 , Sp
/wiki/Word_processor , 0.00836820083682 , 0.0159893404397 , 0.10321969697 , 85 , 836 , 16491 , 0 , El
/wiki/Text_editor , 0.019512195122 , 0.00626959247649 , 0.0662790697674 , 49 , 584 , 5303 , 0 , El
/wiki/Microsoft_Windows , 0.0137931034483 , 0.0190749493585 , 0.103263516805 , 176 , 5437 , 19900 , 0 , El
/wiki/Control-Alt-Delete , 0.0319634703196 , 0.00589970501475 , 0.0815660685155 , 72 , 332 , 10392 , 1 , El
/wiki/Command-line_interface , 0.0169491525424 , 0.0114087301587 , 0.0898395721925 , 88 , 1511 , 11053 , 0 , El
